DOB,M_STATUS,SALARY,EDU_DATA,EMP_DATA,REL_ORIEN,FAV_TV,PREF_CAR,GENDER,FAV_CUIS,FAV_MUSIC,ENDU_LEVEL,FAV_SPORT,FAV_COLR,NEWS_SOURCE,DIST_FRM_COAST,MNTLY_TRAVEL,GEN_MOVIES,FAV_SUBJ,ALCOHOL,FAV_SUPERHERO,Dist_Coast,Class
6/29/1969,Unmarried,300k-500k,Post-Graduate,Unemployed,Believer,Breaking Bad,ford,Male,Mexican,Hip-Hop,15-18,Basketball,purple,Associated Press,10-25 KM,1500-2000 KM,Comedy,History,Beer,The hulk,1478.0,x
11/14/1994,Married,300k-500k,Graduate,Unemployed,Believer,Flash,Ford,Female,French,Rap,6 to 10,Basketball,White,MSN,10-25 KM,0-250 KM,Drama,Chemistry,,Batman,795.0,x
8/2/1974,Unmarried,,High-School,Self-Employed,Believer,Flash,Toyota,,Mediterranean,Rap,6 to 10,Soccer,Green,BBC,25-40 KM,1500-2000 KM,Romantic,English,Rum,Ironman,855.0,y
12/17/1991,Divorced,300k-500k,Post-Graduate,Employed,Agnostic,Game of Thrones,Wolkswagen,Female,French,Rock,15-18,Swimming,Blue,Huffington Post,40-60 KM,0-250 KM,Thriller,Maths,Vodka,Thor,237.0,y
1/9/1965,Unmarried,,Post-Graduate,Employed,Believer,breaking bad,Daimler-Benz,,Mexican,Hip-Hop,15-18,Basketball,Red,Huffington Post,40-60 KM,250-500 KM,Drama,Physics,wine,Batman,1322.0,x
9/6/1963,Unmarried,300k-500k,Graduate,Self-Employed,Believer,Friends,Audi,Female,Indian,Rap,6 to 10,Soccer,White,Fox News,10-25 KM,250-500 KM,Action,Biology,Beer,Thor,1351.0,x
10/14/1969,Unmarried,300k-500k,Uneducated,Unemployed,Believer,Big Bang Theory,Daimler-Benz,Female,Indian,Rock,18-20,Basketball,Red,Huffington Post,40-60 KM,1000-1500 KM,Thriller,Maths,Non Drinkers,Thor,1308.0,y
11/9/1986,,100k-300k,Uneducated,Employed,Agnostic,Narcos,Suzuki,Female,Mediterranean,Rock,20+,Baseball,Red,CNN,25-40 KM,1000-1500 KM,Drama,Physics,Rum,Batman,354.0,x
5/29/1994,Married,300k-500k,Uneducated,Unemployed,Believer,Dexter,Wolkswagen,Male,Lebanese,Classical,12 to 15,Rugby,Red,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Beer,Ironman,635.0,x
2/24/1975,Married,0-100K,High-School,Self-Employed,Atheist,How I Met your mother,GM,Female,Italian,Rap,6 to 10,Rugby,Yellow,BBC,60-80 KM,2000+ KM,Drama,Chemistry,Non Drinkers,spiderman,1236.0,x
10/13/1968,Married,300k-500k,High-School,Employed,Agnostic,Prison Break,Ford,Male,Mexican,Rap,6 to 10,Baseball,Green,New York Times,0-10 KM,0-250 KM,Horror,Chemistry,,spiderman,108.0,y
4/11/1994,Married,500k-700k,Post-Graduate,Unemployed,Agnostic,Big Bang Theory,BMW,Male,Mexican,Hip-Hop,15-18,Cricket,Red,Reuters,25-40 KM,1000-1500 KM,Thriller,Maths,Non Drinkers,Thor,1070.0,y
12/9/1979,,700k-1 Million,Post-Graduate,Unemployed,Believer,Narcos,Audi,Female,Mediterranean,Rock,20+,Soccer,Red,Huffington Post,40-60 KM,500-1000 KM,Drama,Physics,Rum,Batman,356.0,x
6/10/1978,Unmarried,0-100K,Graduate,Self-Employed,Believer,Prison Break,Ford,Female,Indian,Rap,6 to 10,Basketball,Yellow,BBC,0-10 KM,0-250 KM,Drama,Chemistry,Whiskey,Batman,233.0,x
11/7/1961,Married,,Graduate,Self-Employed,Agnostic,Narcos,Toyota,Male,Thai,Country,12 to 15,Swimming,Blue,Huffington Post,40-60 KM,0-250 KM,Drama,Physics,Rum,Batman,1309.0,y
1/20/1964,Unmarried,,Graduate,Unemployed,Believer,Friends,BMW,Female,French,Rap,6 to 10,Basketball,White,MSN,10-25 KM,250-500 KM,Action,Biology,Beer,wonder woman,1465.0,x
1/3/1979,Unmarried,0-100K,,Self-Employed,Believer,Narcos,ford,Male,Chinese,Classical,10 to 12,Soccer,Blue,CNN,25-40 KM,1000-1500 KM,Drama,Physics,,Batman,1025.0,y
6/22/1989,Unmarried,500k-700k,Post-Graduate,Employed,Believer,narcos,BMW,Male,Thai,Country,12 to 15,Soccer,Red,CNN,25-40 KM,1000-1500 KM,Comedy,History,Gin,Thor,425.0,x
12/11/1961,Married,300k-500k,Graduate,Employed,Believer,Narcos,Daimler-Benz,Male,Thai,Country,12 to 15,Basketball,Red,CNN,25-40 KM,250-500 KM,Thriller,Maths,Rum,Thor,547.0,x
1/12/1975,Married,0-100K,Uneducated,Self-Employed,Believer,Dexter,Ford,Male,Thai,Country,12 to 15,Rugby,Red,NOISE,60-80 KM,0-250 KM,Action,Physics,Vodka,wonder woman,628.0,x
5/27/1991,Unmarried,300k-500k,,Self-Employed,Believer,Dexter,Wolkswagen,Female,Mediterranean,Rock,20+,Soccer,purple,Associated Press,10-25 KM,1500-2000 KM,Horror,Economics,Beer,superman,827.0,x
8/25/1992,Unmarried,300k-500k,High-School,Unemployed,Agnostic,Big Bang Theory,Ford,Male,Thai,Country,12 to 15,volleyball,Red,Reuters,25-40 KM,250-500 KM,Comedy,History,Non Drinkers,The hulk,124.0,x
9/2/1973,,300k-500k,,Employed,Believer,Friends,Ford,Female,Italian,Rap,6 to 10,Soccer,Green,BBC,0-10 KM,0-250 KM,Thriller,Art,Beer,Thor,1022.0,x
3/15/1970,Married,300k-500k,Uneducated,Unemployed,Believer,prison break,Audi,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Black,Fox News,60-80 KM,2000+ KM,Drama,Chemistry,Whiskey,Batman,186.0,y
10/14/1962,Married,300k-500k,,Self-Employed,Agnostic,Narcos,Audi,Male,Lebanese,Country,12 to 15,Baseball,Blue,CNN,25-40 KM,1000-1500 KM,Comedy,Maths,Rum,Thor,1292.0,y
4/9/1968,Married,300k-500k,High-School,Unemployed,Atheist,Prison Break,Daimler-Benz,Male,Thai,Heavy Metal,6 to 10,Rugby,White,Fox News,10-25 KM,250-500 KM,Horror,Chemistry,,spiderman,349.0,x
2/21/1994,Married,700k-1 Million,Uneducated,Self-Employed,Believer,Narcos,Daimler -Benz,Female,French,Rock,15-18,Basketball,Blue,Huffington Post,40-60 KM,0-250 KM,Horror,Physics,Non Drinkers,spiderman,353.0,y
2/11/1991,Married,300k-500k,Post-Graduate,Unemployed,Atheist,Prison Break,Daimler-Benz,Male,NOISE,Heavy Metal,3 to 5,Baseball,White,MSN,40-60 KM,2000+ KM,Horror,Chemistry,Whiskey,superman,1329.0,x
2/14/1964,Unmarried,100k-300k,Uneducated,Employed,Believer,Breaking Bad,Suzuki,Male,Mexican,Hip-Hop,15-18,Soccer,purple,Associated Press,10-25 KM,2000+ KM,Horror,Economics,Beer,spiderman,290.0,y
9/29/1982,Married,100k-300k,,Unemployed,believer,How I Met your mother,Suzuki,Female,Italian,Rap,6 to 10,Basketball,Black,New York Times,0-10 KM,0-250 KM,Historical,Art,Non Drinkers,The hulk,336.0,x
11/16/1969,,1M-2Million,Graduate,Unemployed,Agnostic,Dexter,Bently,Male,Italian,Hip-Hop,15-18,Cricket,purple,Associated Press,0-10 KM,1500-2000 KM,Action,Physics,Beer,wonder woman,284.0,y
8/10/1977,Married,100k-300k,Graduate,Unemployed,Agnostic,Prison Break,Ford,Male,Lebanese,Heavy Metal,3 to 5,Baseball,White,MSN,10-25 KM,0-250 KM,Action,Biology,Whiskey,Thor,1282.0,x
10/24/1982,Married,500k-700k,Uneducated,Self-Employed,Believer,Flash,Toyota,Male,Thai,Heavy Metal,6 to 10,Basketball,White,NOISE,10-25 KM,250-500 KM,Horror,Chemistry,Rum,spiderman,450.0,y
2/24/1970,Unmarried,100k-300k,Uneducated,Self-Employed,Believer,Game of Thrones,Honda,Male,Lebanese,Classical,12 to 15,Basketball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Drama,Physics,,Batman,248.0,y
8/6/1963,Married,300k-500k,High-School,Self-Employed,Agnostic,Friends,Daimler-Benz,Female,French,Rap,6 to 10,Cricket,White,MSN,10-25 KM,250-500 KM,Romantic,English,Beer,Ironman,73.0,x
5/29/1966,Married,,Graduate,Self-Employed,Agnostic,sherlock,Audi,Male,Thai,Heavy Metal,6 to 10,Baseball,Green,New York Times,10-25 KM,0-250 KM,Drama,Chemistry,,Batman,449.0,y
4/15/1995,,0-100K,Uneducated,Employed,believer,Breaking Bad,Ford,Male,Chinese,Classical,10 to 12,Rugby,Red,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Beer,Ironman,1218.0,y
2/13/1967,Divorced,0-100K,Post-Graduate,Employed,Agnostic,Narcos,Ford,Male,Thai,Country,12 to 15,Swimming,purple,Associated Press,0-10 KM,2000+ KM,Thriller,Maths,Rum,Thor,1222.0,x
3/21/1961,Married,700k-1 Million,Graduate,Employed,Believer,Game of Thrones,Daimler -Benz,Female,French,Hip-Hop,15-18,Basketball,Blue,Huffington Post,40-60 KM,250-500 KM,Action,Physics,,wonder woman,598.0,x
9/14/1977,Unmarried,300k-500k,High-School,Employed,Agnostic,Flash,Audi,Female,French,Rap,6 to 10,cycling,Yellow,BBC,10-25 KM,0-250 KM,Drama,Chemistry,wine,Batman,870.0,x
5/30/1961,Unmarried,700k-1 Million,High-School,Employed,Agnostic,Big Bang Theory,Daimler -Benz,,Chinese,Classical,10 to 12,volleyball,Blue,CNN,25-40 KM,1000-1500 KM,Horror,Economics,Non Drinkers,spiderman,580.0,y
11/3/1981,,500k-700k,Graduate,Employed,Agnostic,Prison Break,Toyota,Male,Chinese,Heavy Metal,3 to 5,volleyball,Green,New York Times,10-25 KM,250-500 KM,Action,Biology,Vodka,wonder woman,86.0,x
9/14/1990,Unmarried,300k-500k,High-School,Employed,Agnostic,Friends,Daimler-Benz,Male,Italian,Rap,6 to 10,cycling,White,MSN,0-10 KM,0-250 KM,Historical,Civics,Beer,Ironman,502.0,y
11/23/1965,Unmarried,300k-500k,High-School,Unemployed,Agnostic,Breaking Bad,Daimler-Benz,Female,Indian,Rock,18-20,volleyball,Red,Huffington Post,40-60 KM,0-250 KM,Romantic,Commerce,Beer,Ironman,1486.0,y
10/15/1991,Married,0-100K,Post-Graduate,Self-Employed,Atheist,Friends,Ford,Female,Italian,Rap,6 to 10,Rugby,White,Fox News,60-80 KM,2000+ KM,Thriller,Biology,Vodka,Thor,1330.0,x
11/18/1973,,300k-500k,Graduate,Self-Employed,Believer,Game of Thrones,Toyota,Male,Chinese,Classical,10 to 12,Basketball,Red,CNN,25-40 KM,500-1000 KM,Romantic,Commerce,Vodka,Ironman,389.0,y
11/11/1984,Unmarried,0-100K,Uneducated,Self-Employed,Believer,Narcos,Ford,,Mexican,Hip-Hop,15-18,Basketball,purple,Associated Press,10-25 KM,1500-2000 KM,Action,Physics,Gin,wonder woman,217.0,x
3/11/1992,Married,100k-300k,Uneducated,Employed,Atheist,Breaking Bad,Suzuki,Male,Mexican,Hip-Hop,15-18,Baseball,Blue,Huffington Post,40-60 KM,0-250 KM,Drama,Physics,Beer,Batman,1465.0,x
7/17/1967,Married,300k-500k,Graduate,Employed,Atheist,How I Met your mother,Daimler-Benz,Male,Lebanese,Heavy Metal,3 to 5,Rugby,Black,Fox News,0-10 KM,0-250 KM,Drama,Chemistry,Non Drinkers,Batman,487.0,x
1/27/1979,,,Post-Graduate,Self-Employed,Believer,Friends,Ford,Female,Mediterranean,Rap,6 to 10,Basketball,White,MSN,10-25 KM,250-500 KM,Comedy,Art,Beer,The hulk,237.0,y
10/11/1979,Unmarried,300k-500k,,Unemployed,Believer,Dexter,Daimler-Benz,Male,Chinese,Classical,10 to 12,Soccer,purple,Associated Press,60-80 KM,250-500 KM,Comedy,History,Beer,Thor,530.0,y
1/16/1982,Unmarried,300k-500k,Graduate,Employed,Believer,Friends,Audi,Female,Italian,Rap,6 to 10,Soccer,Yellow,BBC,0-10 KM,0-250 KM,Thriller,Biology,Beer,Thor,679.0,x
10/15/1983,Unmarried,100k-300k,Post-Graduate,Employed,Believer,Dexter,Suzuki,Female,Indian,Rock,18-20,Basketball,Blue,Huffington Post,40-60 KM,0-250 KM,Comedy,History,Beer,The hulk,212.0,y
4/17/1976,Unmarried,500k-700k,Post-Graduate,Unemployed,Agnostic,Prison Break,Toyota,Female,Italian,Rap,6 to 10,volleyball,White,MSN,10-25 KM,0-250 KM,Action,Biology,Vodka,wonder woman,176.0,x
4/21/1982,Married,100k-300k,Graduate,Self-Employed,Atheist,Narcos,Nissan,Male,Chinese,Classical,10 to 12,Rugby,Blue,Huffington Post,40-60 KM,0-250 KM,Romantic,Commerce,Non Drinkers,Ironman,160.0,y
3/8/1988,,300k-500k,Post-Graduate,Unemployed,Agnostic,Narcos,Ford,Male,Chinese,Classical,10 to 12,Baseball,Red,Reuters,25-40 KM,500-1000 KM,Drama,Physics,Rum,Batman,439.0,x
1/18/1988,Married,1M-2Million,High-School,Unemployed,Atheist,Prison Break,Rolls Royce,Female,Italian,Rap,6 to 10,Rugby,Green,BBC,10-25 KM,250-500 KM,Romantic,English,Whiskey,Ironman,657.0,x
11/17/1977,Unmarried,300k-500k,High-School,Unemployed,Believer,Friends,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Soccer,White,MSN,10-25 KM,250-500 KM,Drama,Chemistry,wine,Batman,1305.0,y
5/14/1968,Married,300k-500k,High-School,Employed,Atheist,Game of Thrones,Audi,Female,Italian,Hip-Hop,15-18,Baseball,Orange,Reuters,60-80 KM,0-250 KM,Comedy,Maths,Vodka,Thor,1450.0,y
5/30/1977,Unmarried,100k-300k,High-School,Unemployed,Believer,narcos,Honda,Male,Lebanese,Country,12 to 15,Basketball,Red,Reuters,25-40 KM,500-1000 KM,Comedy,History,,The hulk,977.0,x
8/28/1981,Married,300k-500k,High-School,Self-Employed,Believer,Flash,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Basketball,Black,Fox News,40-60 KM,1500-2000 KM,Historical,Civics,Rum,Ironman,804.0,x
3/23/1977,Divorced,,High-School,Employed,Agnostic,Prison Break,Suzuki,Male,Lebanese,Heavy Metal,3 to 5,Swimming,Black,Fox News,10-25 KM,250-500 KM,Historical,Art,Whiskey,The hulk,1473.0,y
11/16/1962,,100k-300k,Uneducated,Self-Employed,Agnostic,Friends,Nissan,Male,Chinese,Heavy Metal,3 to 5,Cricket,Yellow,BBC,0-10 KM,0-250 KM,Drama,Chemistry,,Batman,570.0,y
10/18/1967,Unmarried,0-100K,,Unemployed,Agnostic,Narcos,Ford,Male,Thai,Country,12 to 15,volleyball,Red,Huffington Post,40-60 KM,0-250 KM,Romantic,Commerce,Non Drinkers,Ironman,214.0,y
4/20/1961,Divorced,,Uneducated,Employed,Agnostic,Breaking Bad,Audi,Male,Mexican,Hip-Hop,15-18,Swimming,Red,Reuters,60-80 KM,0-250 KM,Thriller,Maths,Beer,Thor,763.0,x
4/23/1963,Unmarried,,High-School,Self-Employed,Believer,sherlock,Toyota,Female,Mediterranean,Rap,6 to 10,Basketball,Black,Fox News,10-25 KM,0-250 KM,Drama,Chemistry,,spiderman,748.0,x
8/10/1973,Married,100k-300k,Graduate,Employed,Believer,Narcos,Nissan,Female,NOISE,Rock,18-20,Basketball,Red,Huffington Post,40-60 KM,0-250 KM,Horror,Economics,,superman,1077.0,y
2/17/1985,Married,500k-700k,Graduate,Employed,Agnostic,narcos,Toyota,Male,Italian,Hip-Hop,15-18,Cricket,Red,CNN,25-40 KM,0-250 KM,Comedy,History,Rum,Thor,295.0,x
3/20/1980,Unmarried,500k-700k,High-School,Self-Employed,Believer,Breaking Bad,BMW,Male,Mexican,Country,12 to 15,Basketball,purple,NOISE,10-25 KM,1500-2000 KM,Romantic,Commerce,Beer,Ironman,582.0,x
3/7/1985,Unmarried,300k-500k,Graduate,Employed,Believer,Prison Break,Audi,Male,Lebanese,Heavy Metal,3 to 5,Basketball,White,Fox News,0-10 KM,0-250 KM,Historical,Civics,Whiskey,The hulk,1080.0,x
2/27/1980,Married,500k-700k,High-School,Unemployed,agnostic,Breaking Bad,Toyota,Female,French,Rock,15-18,Swimming,Red,CNN,25-40 KM,500-1000 KM,Historical,History,Beer,The hulk,318.0,y
7/21/1963,Unmarried,100k-300k,High-School,Employed,Believer,Prison Break,Suzuki,Female,French,Rap,6 to 10,Basketball,White,MSN,40-60 KM,2000+ KM,Romantic,English,Vodka,Ironman,1405.0,x
3/28/1973,Unmarried,500k-700k,High-School,Unemployed,Believer,Prison Break,BMW,Male,Lebanese,Heavy Metal,3 to 5,Soccer,White,Fox News,0-10 KM,0-250 KM,Action,Biology,Whiskey,wonder woman,857.0,y
4/19/1975,Unmarried,0-100K,,Unemployed,Believer,Friends,GM,,French,Rap,6 to 10,Soccer,White,MSN,10-25 KM,250-500 KM,Thriller,Biology,Beer,Thor,96.0,y
7/4/1968,Unmarried,,Uneducated,Self-Employed,Believer,Breaking Bad,Bently,Female,Indian,Rock,18-20,Soccer,Red,Reuters,60-80 KM,0-250 KM,Thriller,Maths,Beer,Thor,1120.0,y
2/3/1986,Unmarried,100k-300k,Uneducated,Employed,Believer,Prison Break,Suzuki,Male,Italian,Rap,6 to 10,Soccer,Black,Fox News,10-25 KM,0-250 KM,Horror,Chemistry,,spiderman,317.0,x
5/5/1977,Married,300k-500k,Post-Graduate,Employed,Believer,Friends,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Basketball,Black,Fox News,10-25 KM,0-250 KM,Drama,Biology,Beer,wonder woman,1468.0,y
11/7/1979,Married,300k-500k,Post-Graduate,Unemployed,Agnostic,Breaking Bad,Audi,,Italian,Hip-Hop,15-18,Baseball,Blue,CNN,25-40 KM,500-1000 KM,Horror,Economics,wine,superman,1193.0,y
7/4/1964,Married,500k-700k,High-School,Unemployed,Atheist,Friends,BMW,Male,Chinese,Heavy Metal,1 to 3,Rugby,White,Fox News,0-10 KM,0-250 KM,Action,Biology,Vodka,wonder woman,109.0,x
1/8/1965,Unmarried,300k-500k,Graduate,Self-Employed,Believer,Narcos,Ford,Male,Mexican,Hip-Hop,15-18,Basketball,Red,CNN,25-40 KM,1000-1500 KM,Comedy,History,Gin,The hulk,746.0,y
4/3/1960,Married,0-100K,Uneducated,Employed,Believer,Narcos,GM,Female,Italian,Hip-Hop,15-18,Basketball,Red,Huffington Post,40-60 KM,0-250 KM,Horror,Physics,Non Drinkers,spiderman,1122.0,x
7/26/1981,Unmarried,100k-300k,Graduate,Unemployed,Believer,How I Met your mother,honda,Male,Chinese,Heavy Metal,1 to 3,Soccer,Green,New York Times,40-60 KM,1500-2000 KM,Action,Biology,Non Drinkers,wonder woman,105.0,x
2/13/1985,Unmarried,300k-500k,Post-Graduate,Unemployed,Believer,Narcos,Ford,Female,Indian,Rock,18-20,Basketball,Red,Huffington Post,40-60 KM,500-1000 KM,Drama,Physics,Rum,Batman,482.0,y
1/13/1988,,100k-300k,Post-Graduate,Self-Employed,Believer,Friends,Suzuki,Male,Chinese,Heavy Metal,1 to 3,Soccer,Green,New York Times,0-10 KM,0-250 KM,Drama,Biology,Beer,Batman,233.0,x
11/19/1978,Married,300k-500k,Uneducated,Employed,Atheist,Big Bang Theory,Wolkswagen,,Chinese,Classical,10 to 12,Baseball,Red,CNN,25-40 KM,500-1000 KM,Horror,Economics,Non Drinkers,spiderman,329.0,y
12/7/1969,Married,300k-500k,Uneducated,Unemployed,Atheist,Prison Break,Ford,Male,Italian,Rap,6 to 10,Rugby,White,Fox News,10-25 KM,0-250 KM,Romantic,English,Whiskey,Ironman,602.0,x
9/10/1967,Unmarried,300k-500k,High-School,Unemployed,Agnostic,friends,Wolkswagen,Female,French,Rap,6 to 10,volleyball,Yellow,BBC,25-40 KM,1000-1500 KM,Horror,Chemistry,,spiderman,1106.0,y
12/4/1961,Married,100k-300k,Graduate,Unemployed,Believer,sherlock,Honda,,Mexican,Rap,6 to 10,Rugby,White,MSN,40-60 KM,1500-2000 KM,Drama,Chemistry,Non Drinkers,Batman,1216.0,y
7/17/1982,,300k-500k,Graduate,Unemployed,Believer,Breaking Bad,Audi,Male,Chinese,Classical,10 to 12,Soccer,purple,Associated Press,10-25 KM,2000+ KM,Historical,Commerce,Beer,The hulk,1152.0,y
8/9/1994,,500k-700k,Uneducated,Unemployed,Believer,Prison Break,BMW,Male,Thai,Heavy Metal,6 to 10,Basketball,Black,New York Times,25-40 KM,1000-1500 KM,Horror,Chemistry,Vodka,superman,713.0,x
1/4/1990,Unmarried,100k-300k,Graduate,Self-Employed,Believer,Game of Thrones,Suzuki,Female,NOISE,Rock,20+,Basketball,purple,Associated Press,0-10 KM,1500-2000 KM,Action,Physics,Vodka,wonder woman,1381.0,y
1/5/1973,Married,100k-300k,Uneducated,Self-Employed,Agnostic,Prison Break,Suzuki,Male,Mexican,Rap,6 to 10,Cricket,Green,New York Times,25-40 KM,1500-2000 KM,Historical,Civics,,NOISE,144.0,x
5/10/1993,Unmarried,700k-1 Million,,Unemployed,Believer,Friends,Daimler -Benz,Male,Mexican,Rap,6 to 10,Basketball,Green,New York Times,25-40 KM,1500-2000 KM,Action,Biology,,wonder woman,558.0,y
1/22/1992,Unmarried,100k-300k,Uneducated,Employed,Believer,Dexter,Suzuki,Male,Thai,Country,12 to 15,Soccer,Red,Reuters,25-40 KM,250-500 KM,Historical,Commerce,Vodka,Ironman,814.0,y
8/18/1962,Married,300k-500k,Graduate,Self-Employed,Atheist,How I Met your mother,Audi,Male,Thai,Light Metal,6 to 10,Baseball,Green,New York Times,10-25 KM,0-250 KM,Romantic,English,Non Drinkers,Ironman,1304.0,x
5/4/1965,Married,500k-700k,Uneducated,Self-Employed,Agnostic,Dexter,Toyota,Female,French,Hip-Hop,15-18,Baseball,purple,Associated Press,10-25 KM,1500-2000 KM,Horror,Physics,Beer,spiderman,679.0,y
11/22/1970,,300k-500k,,Employed,Believer,Prison Break,Wolkswagen,Male,Lebanese,Heavy Metal,6 to 10,Rugby,Green,New York Times,10-25 KM,0-250 KM,Thriller,Biology,Vodka,Thor,896.0,x
2/12/1966,Married,,,Unemployed,Believer,Big Bang Theory,Suzuki,Female,NOISE,Rock,15-18,Basketball,Red,Reuters,60-80 KM,1000-1500 KM,Thriller,Maths,Non Drinkers,NOISE,289.0,y
6/16/1976,Married,300k-500k,Uneducated,Employed,Atheist,How I Met your mother,Daimler-Benz,Female,French,Rap,6 to 10,Rugby,Black,New York Times,0-10 KM,0-250 KM,Comedy,Art,Non Drinkers,Thor,768.0,x
10/23/1971,Married,100k-300k,High-School,Employed,Atheist,Narcos,Ford,Male,Mexican,Hip-Hop,15-18,Baseball,purple,Associated Press,10-25 KM,2000+ KM,Romantic,Commerce,Gin,Ironman,772.0,y
3/2/1972,Unmarried,300k-500k,Uneducated,Employed,Believer,Prison Break,audi,Male,Lebanese,Heavy Metal,3 to 5,Soccer,White,MSN,0-10 KM,0-250 KM,Historical,Civics,Whiskey,The hulk,195.0,x
3/4/1992,Married,500k-700k,Uneducated,Unemployed,Believer,Friends,BMW,Male,Mexican,Rap,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Action,Biology,Vodka,wonder woman,260.0,y
5/23/1963,Unmarried,300k-500k,Graduate,Employed,Agnostic,Friends,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,volleyball,Green,NOISE,10-25 KM,0-250 KM,Horror,Chemistry,Vodka,superman,272.0,y
7/11/1992,Married,100k-300k,Post-Graduate,Self-Employed,Agnostic,Prison Break,Ford,Male,Mexican,Rap,6 to 10,Cricket,White,MSN,0-10 KM,0-250 KM,Horror,Chemistry,Whiskey,superman,903.0,y
10/1/1978,Married,100k-300k,,Self-Employed,Agnostic,Friends,suzuki,Female,French,Rap,6 to 10,Baseball,Black,New York Times,10-25 KM,0-250 KM,Thriller,Biology,Vodka,Thor,735.0,y
1/26/1974,Married,300k-500k,Graduate,Employed,Agnostic,Prison Break,Toyota,Male,Mexican,Rap,6 to 10,Swimming,White,Fox News,25-40 KM,1000-1500 KM,Horror,Chemistry,Whiskey,superman,334.0,y
5/20/1972,,100k-300k,High-School,Employed,Atheist,Friends,Suzuki,Male,Thai,Heavy Metal,6 to 10,Rugby,Yellow,BBC,0-10 KM,0-250 KM,Comedy,Art,,Thor,1188.0,y
7/24/1968,Divorced,300k-500k,Graduate,Unemployed,Agnostic,sherlock,Ford,Male,Chinese,Heavy Metal,3 to 5,Swimming,Green,BBC,25-40 KM,1000-1500 KM,Thriller,Biology,Non Drinkers,Thor,594.0,y
5/3/1970,Married,300k-500k,,Employed,Believer,How I Met your mother,Ford,Female,Mediterranean,Rap,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Romantic,English,Non Drinkers,Ironman,489.0,y
8/26/1976,Unmarried,500k-700k,Graduate,Self-Employed,Believer,Friends,Toyota,Male,Lebanese,Heavy Metal,3 to 5,Soccer,White,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,Beer,spiderman,862.0,y
12/28/1994,Married,300k-500k,Post-Graduate,Unemployed,Atheist,Dexter,Audi,Female,Italian,Hip-Hop,15-18,Baseball,Red,Reuters,25-40 KM,0-250 KM,Horror,Economics,Beer,superman,1034.0,y
2/26/1974,Married,1M-2Million,Post-Graduate,Unemployed,Agnostic,Breaking Bad,Bently,Female,Italian,Hip-Hop,15-18,Cricket,purple,Associated Press,0-10 KM,2000+ KM,Horror,Physics,Beer,spiderman,1166.0,x
5/7/1964,,100k-300k,Graduate,Unemployed,Believer,game of thrones,Suzuki,Male,Thai,Country,12 to 15,Basketball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Comedy,History,,The hulk,1225.0,x
1/24/1963,Unmarried,500k-700k,Uneducated,Unemployed,Agnostic,Breaking Bad,Toyota,,Chinese,Classical,10 to 12,volleyball,Red,Huffington Post,40-60 KM,250-500 KM,Historical,History,wine,The hulk,982.0,x
6/15/1983,Unmarried,300k-500k,Post-Graduate,Employed,Believer,Narcos,daimler-benz,Female,French,Rock,15-18,Soccer,Red,Huffington Post,40-60 KM,0-250 KM,Horror,Economics,Non Drinkers,superman,1291.0,x
11/27/1966,Married,,Uneducated,Employed,Believer,Game of Thrones,Ford,Male,Lebanese,Country,12 to 15,Basketball,Red,NOISE,40-60 KM,250-500 KM,Horror,Economics,Vodka,spiderman,1243.0,x
10/3/1980,Unmarried,100k-300k,,Self-Employed,Believer,big bang theory,Suzuki,Male,Lebanese,Classical,10 to 12,Soccer,Blue,CNN,25-40 KM,1000-1500 KM,Comedy,History,Non Drinkers,Thor,1162.0,x
6/12/1965,Married,100k-300k,,Employed,Atheist,Breaking Bad,Nissan,Male,Thai,Country,12 to 15,Baseball,Blue,CNN,25-40 KM,500-1000 KM,Historical,History,Beer,The hulk,229.0,x
4/21/1985,Married,,High-School,Self-Employed,Believer,Flash,GM,Male,Thai,Light Metal,6 to 10,Basketball,Yellow,BBC,60-80 KM,2000+ KM,Action,Biology,wine,wonder woman,98.0,x
5/1/1975,Unmarried,300k-500k,Graduate,Employed,Believer,Friends,Audi,Female,Indian,Rap,6 to 10,Soccer,White,MSN,10-25 KM,250-500 KM,Drama,Chemistry,Beer,Batman,148.0,y
11/6/1987,Unmarried,300k-500k,Post-Graduate,Unemployed,Agnostic,Flash,Audi,Male,Thai,Light Metal,6 to 10,cycling,Yellow,NOISE,60-80 KM,2000+ KM,Comedy,Art,Rum,Thor,758.0,y
1/26/1983,Married,700k-1 Million,Uneducated,Self-Employed,Believer,Prison Break,Daimler -Benz,Male,Thai,Heavy Metal,6 to 10,Basketball,Yellow,BBC,40-60 KM,1500-2000 KM,Horror,Chemistry,Whiskey,spiderman,1269.0,y
